"row ID","City","Year","Month","MaxTempAvg","MaxTempMax","MinTempMean","MinTempMin","SnowMean_in_CM","SunHourMean","WindGustKmphMean","CloudcoverMean","HumidityMean","PercipMean","TempMean","Mean(windspeedKmph)","PowerPlanName","Col0","NumberOfOutages"
"Row66_Row51_Row482","Eschweiler",2018,"August",24.51612903225806,34,14.838709677419356,8,0,11.896774193548387,16.161290322580644,32.225806451612904,65.54838709677418,0.5838709677419354,24.51612903225806,11.09677419354839,"Weisweiler",482,16
"Row67_Row51_Row483","Eschweiler",2018,"December",7.161290322580644,13,3.451612903225807,-2,0.08064516129032258,3.470967741935485,24.677419354838708,68.67741935483873,82.54838709677418,1.4709677419354839,7.161290322580644,15.612903225806447,"Weisweiler",483,47
"Row68_Row51_Row484","Eschweiler",2018,"February",2.714285714285715,7,-2.428571428571429,-9,0.13928571428571426,8.417857142857141,20.821428571428566,38.17857142857142,69.32142857142858,0.3357142857142857,2.714285714285715,14.07142857142857,"Weisweiler",484,38
"Row69_Row51_Row485","Eschweiler",2018,"January",7.193548387096775,13,3.3870967741935476,0,0.1064516129032258,4.587096774193546,27.451612903225804,69.41935483870971,85.03225806451613,1.1935483870967736,7.193548387096775,17.83870967741936,"Weisweiler",485,23
"Row70_Row51_Row486","Eschweiler",2018,"July",26.451612903225804,34,15.322580645161286,10,0,15.819354838709675,13.129032258064518,22.258064516129032,60.64516129032257,0.5870967741935484,26.451612903225804,8.903225806451612,"Weisweiler",486,18
"Row71_Row51_Row487","Eschweiler",2018,"June",21.53333333333333,28,12.799999999999999,7,0,15.186666666666671,15.2,42.633333333333326,76.23333333333332,0.9566666666666662,21.53333333333333,10.46666666666667,"Weisweiler",487,65
"Row72_Row51_Row489","Eschweiler",2018,"March",8.129032258064516,14,1.3225806451612905,-7,0.054838709677419384,8.541935483870967,21.483870967741943,58.32258064516128,76.67741935483872,1.0935483870967744,8.129032258064516,14.2258064516129,"Weisweiler",489,24
"Row73_Row51_Row488","Eschweiler",2018,"May",21,27,10.838709677419356,4,0,15.06451612903226,15.354838709677422,28.838709677419352,72.0322580645161,1.729032258064516,21,10.258064516129036,"Weisweiler",488,26
"Row74_Row51_Row490","Eschweiler",2018,"November",9.6,16,4.599999999999999,-1,0,6.396666666666668,20.1,45.800000000000004,79.59999999999998,0.6233333333333335,9.6,12.266666666666667,"Weisweiler",490,35
"Row75_Row51_Row491","Eschweiler",2018,"October",15.903225806451607,25,8.580645161290322,2,0,8.82258064516129,18.903225806451605,41.29032258064516,75.1612903225806,0.5419354838709677,15.903225806451607,11.999999999999996,"Weisweiler",491,32
"Row76_Row51_Row492","Eschweiler",2018,"September",19.96666666666667,28,10.999999999999996,5,0,10.256666666666666,15.56666666666666,31.366666666666656,69.83333333333331,0.8799999999999999,19.96666666666667,10.133333333333335,"Weisweiler",492,25
"Row78_Row46_Row441","Gelsenkirchen",2018,"April",19.033333333333335,29,10.999999999999996,4,0,10.219999999999994,14.733333333333333,43.53333333333333,60.19999999999999,0.10999999999999999,19.033333333333335,10.933333333333337,"Scholven",441,2
"Row79_Row46_Row430","Gelsenkirchen",2018,"August",26.032258064516128,36,18.06451612903226,12,0,11.929032258064519,13.612903225806454,36.451612903225815,54.35483870967742,0.15483870967741933,26.032258064516128,10.741935483870968,"Scholven",430,22
"Row80_Row46_Row431","Gelsenkirchen",2018,"December",7.387096774193546,13,4.516129032258066,0,0.003225806451612903,3.348387096774194,21.064516129032253,71.32258064516127,78.25806451612904,0.33870967741935487,7.387096774193546,13.999999999999995,"Scholven",431,9
"Row81_Row46_Row432","Gelsenkirchen",2018,"February",2.9285714285714284,7,-0.9285714285714286,-7,0,8.446428571428571,17.678571428571423,37.71428571428572,63.00000000000001,0.057142857142857134,2.9285714285714284,12.857142857142858,"Scholven",432,16
"Row82_Row46_Row433","Gelsenkirchen",2018,"January",7.387096774193548,13,3.96774193548387,1,0.012903225806451611,4.309677419354838,22.741935483870968,72.51612903225805,80.41935483870968,0.19032258064516133,7.387096774193548,15.193548387096774,"Scholven",433,11
"Row83_Row46_Row434","Gelsenkirchen",2018,"July",27.90322580645161,35,18.419354838709676,13,0,15.816129032258061,11.70967741935484,21.516129032258068,50.48387096774194,0.20322580645161287,27.90322580645161,9.064516129032254,"Scholven",434,7
"Row84_Row46_Row435","Gelsenkirchen",2018,"June",23.13333333333333,31,15.433333333333337,10,0,15.196666666666667,13.2,46.400000000000006,63.86666666666668,0.15333333333333335,23.13333333333333,10.5,"Scholven",435,4
"Row85_Row46_Row437","Gelsenkirchen",2018,"March",8.612903225806448,15,2.1935483870967745,-7,0.029032258064516123,9.009677419354837,17.032258064516128,57.806451612903224,67.61290322580645,0.1935483870967742,8.612903225806448,12.258064516129034,"Scholven",437,8
